TABLE NO.  1
 ROW         KA          V2          V3          CL          Q           IPRED       Y           DV          PRED        RES         WRES
  6.2200E+02  2.2156E+00  6.9440E+01  1.5950E+02  3.4155E+01  8.4355E+00  1.5241E-01  1.5241E-01  1.7612E-01  1.4694E-01  2.9181E-02  7.8544E-01
  6.2300E+02  2.2156E+00  6.9440E+01  1.5950E+02  3.4155E+01  8.4355E+00  2.5446E-01  2.5446E-01  2.7860E-01  2.6318E-01  1.5416E-02  3.7537E-01
  6.2400E+02  2.2156E+00  6.9440E+01  1.5950E+02  3.4155E+01  8.4355E+00  2.5859E-01  2.5859E-01  1.9066E-01  2.9282E-01 -1.0216E-01 -9.3675E-01
  6.2500E+02  2.2156E+00  6.9440E+01  1.5950E+02  3.4155E+01  8.4355E+00  1.8019E-01  1.8019E-01  1.8520E-01  2.5587E-01 -7.0667E-02 -5.8872E-01
  6.2600E+02  2.2156E+00  6.9440E+01  1.5950E+02  3.4155E+01  8.4355E+00  5.6872E-02  5.6872E-02  5.5120E-02  1.4472E-01 -8.9603E-02 -1.2686E+00
  6.3100E+02  2.2156E+00  1.1033E+02  1.5950E+02  1.4338E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.3300E+02  2.2156E+00  1.1033E+02  1.5950E+02  1.4338E+01  8.4355E+00  1.3386E-01  1.3386E-01  1.3855E-01  1.9649E-01 -5.7938E-02 -2.8809E-01
  6.3400E+02  2.2156E+00  1.1033E+02  1.5950E+02  1.4338E+01  8.4355E+00  1.9776E-01  1.9776E-01  1.6273E-01  2.8693E-01 -1.2420E-01 -8.2895E-01
  6.3500E+02  2.2156E+00  1.1033E+02  1.5950E+02  1.4338E+01  8.4355E+00  2.0504E-01  2.0504E-01  2.5910E-01  2.8741E-01 -2.8311E-02  2.2781E-01
  6.3600E+02  2.2156E+00  1.1033E+02  1.5950E+02  1.4338E+01  8.4355E+00  1.4111E-01  1.4111E-01  6.4629E-02  1.8305E-01 -1.1842E-01 -1.6635E+00
  6.4100E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.4200E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  6.1823E-02  6.1823E-02  5.6887E-02  8.2240E-02 -2.5353E-02 -2.5457E-01
  6.4300E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  2.2016E-01  2.2016E-01  1.1065E-01  2.8083E-01 -1.7018E-01 -1.5429E+00
  6.4400E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  2.3837E-01  2.3837E-01  3.5931E-01  2.9274E-01  6.6568E-02  1.1437E+00
  6.4500E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  2.1404E-01  2.1404E-01  2.0009E-01  2.3851E-01 -3.8417E-02 -3.2425E-01
  6.4600E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  1.4914E-01  1.4914E-01  1.2642E-01  1.3551E-01 -9.0888E-03 -4.8871E-01
  6.4700E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  8.0209E-02  8.0209E-02  7.3517E-02  5.3845E-02  1.9672E-02 -2.2382E-02
  6.4800E+02  2.2156E+00  9.9788E+01  1.5950E+02  1.0920E+01  8.4355E+00  4.9584E-02  4.9584E-02  6.2952E-02  2.9301E-02  3.3651E-02  1.7955E+00
  6.5100E+02  2.2156E+00  9.7389E+01  1.5950E+02  1.5879E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.5200E+02  2.2156E+00  9.7389E+01  1.5950E+02  1.5879E+01  8.4355E+00  7.1994E-02  7.1994E-02  6.8034E-02  9.3786E-02 -2.5752E-02 -3.8978E-01
  6.5300E+02  2.2156E+00  9.7389E+01  1.5950E+02  1.5879E+01  8.4355E+00  1.9574E-01  1.9574E-01  1.6596E-01  2.5264E-01 -8.6677E-02 -7.1219E-01
  6.5400E+02  2.2156E+00  9.7389E+01  1.5950E+02  1.5879E+01  8.4355E+00  2.3146E-01  2.3146E-01  2.0658E-01  2.9538E-01 -8.8804E-02 -6.0384E-01
  6.5500E+02  2.2156E+00  9.7389E+01  1.5950E+02  1.5879E+01  8.4355E+00  2.1245E-01  2.1245E-01  3.1463E-01  2.6303E-01  5.1598E-02  1.0695E+00
  6.5600E+02  2.2156E+00  9.7389E+01  1.5950E+02  1.5879E+01  8.4355E+00  1.3222E-01  1.3222E-01  5.5850E-02  1.5283E-01 -9.6984E-02 -1.6426E+00
  6.6100E+02  2.2156E+00  9.1316E+01  1.5950E+02  2.5693E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.6300E+02  2.2156E+00  9.1316E+01  1.5950E+02  2.5693E+01  8.4355E+00  1.8795E-01  1.8795E-01  1.9210E-01  2.3460E-01 -4.2496E-02 -1.8812E-01
  6.6400E+02  2.2156E+00  9.1316E+01  1.5950E+02  2.5693E+01  8.4355E+00  2.2914E-01  2.2914E-01  2.3065E-01  2.9461E-01 -6.3963E-02 -3.3605E-01
  6.6500E+02  2.2156E+00  9.1316E+01  1.5950E+02  2.5693E+01  8.4355E+00  1.7581E-01  1.7581E-01  1.7834E-01  2.4388E-01 -6.5537E-02 -4.8591E-01
  6.6600E+02  2.2156E+00  9.1316E+01  1.5950E+02  2.5693E+01  8.4355E+00  8.8375E-02  8.8375E-02  8.0614E-02  1.4253E-01 -6.1916E-02 -9.0556E-01
  6.7100E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.7200E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  9.8311E-02  9.8311E-02  1.3245E-01  1.0902E-01  2.3430E-02  1.3540E+00
  6.7300E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  2.2603E-01  2.2603E-01  1.0025E-01  2.4426E-01 -1.4401E-01 -1.4884E+00
  6.7400E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  2.8583E-01  2.8583E-01  3.1455E-01  2.9572E-01  1.8828E-02  4.8586E-01
  6.7500E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  2.7467E-01  2.7467E-01  2.3572E-01  2.5124E-01 -1.5524E-02 -3.7994E-01
  6.7600E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  2.0855E-01  2.0855E-01  2.5946E-01  1.5089E-01  1.0857E-01  1.0863E+00
  6.7700E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  1.2724E-01  1.2724E-01  1.3295E-01  6.1343E-02  7.1607E-02 -4.4058E-02
  6.7800E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  8.9057E-02  8.9057E-02  1.2596E-01  3.3874E-02  9.2086E-02  3.0136E+00
  6.7900E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  6.2861E-02  6.2861E-02  7.1785E-02  2.1149E-02  5.0636E-02  1.8295E+00
  6.8000E+02  2.2156E+00  8.3508E+01  1.5950E+02  5.1793E+00  8.4355E+00  5.1547E-02  5.1547E-02  5.2102E-02  1.6587E-02  3.5515E-02  1.0491E+00
  6.8100E+02  2.2156E+00  7.1797E+01  1.5950E+02  9.4523E+00  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.8200E+02  2.2156E+00  7.1797E+01  1.5950E+02  9.4523E+00  8.4355E+00  1.3700E-01  1.3700E-01  1.2016E-01  1.3185E-01 -1.1695E-02 -5.4242E-01
  6.8300E+02  2.2156E+00  7.1797E+01  1.5950E+02  9.4523E+00  8.4355E+00  2.9929E-01  2.9929E-01  3.6903E-01  2.8771E-01  8.1321E-02  6.9737E-01
  6.8400E+02  2.2156E+00  7.1797E+01  1.5950E+02  9.4523E+00  8.4355E+00  3.1356E-01  3.1356E-01  3.8870E-01  3.0092E-01  8.7777E-02  7.5527E-01
  6.8500E+02  2.2156E+00  7.1797E+01  1.5950E+02  9.4523E+00  8.4355E+00  2.6157E-01  2.6157E-01  1.9279E-01  2.5019E-01 -5.7398E-02 -9.8324E-01
  6.8600E+02  2.2156E+00  7.1797E+01  1.5950E+02  9.4523E+00  8.4355E+00  1.6590E-01  1.6590E-01  1.9117E-01  1.5740E-01  3.3772E-02  5.4259E-01
  6.8700E+02  2.2156E+00  7.1797E+01  1.5950E+02  9.4523E+00  8.4355E+00  8.0065E-02  8.0065E-02  8.7244E-02  7.4615E-02  1.2629E-02  3.0213E-01
  6.9200E+02  2.2156E+00  1.2215E+02  1.5950E+02  2.1813E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.9400E+02  2.2156E+00  1.2215E+02  1.5950E+02  2.1813E+01  8.4355E+00  1.2040E-01  1.2040E-01  1.2057E-01  1.9560E-01 -7.5033E-02 -4.6117E-01
  6.9500E+02  2.2156E+00  1.2215E+02  1.5950E+02  2.1813E+01  8.4355E+00  1.8663E-01  1.8663E-01  2.0807E-01  2.9583E-01 -8.7762E-02 -3.2821E-01
  6.9600E+02  2.2156E+00  1.2215E+02  1.5950E+02  2.1813E+01  8.4355E+00  1.6125E-01  1.6125E-01  1.1653E-01  2.4575E-01 -1.2922E-01 -1.1578E+00
  6.9700E+02  2.2156E+00  1.2215E+02  1.5950E+02  2.1813E+01  8.4355E+00  1.0345E-01  1.0345E-01  9.7987E-02  1.4701E-01 -4.9019E-02 -5.7430E-01
  7.0200E+02  2.2156E+00  6.4378E+01  1.5950E+02  1.8648E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.0300E+02  2.2156E+00  6.4378E+01  1.5950E+02  1.8648E+01  8.4355E+00  6.5055E-02  6.5055E-02  6.8493E-02  5.6391E-02  1.2102E-02  1.8386E-01
  7.0400E+02  2.2156E+00  6.4378E+01  1.5950E+02  1.8648E+01  8.4355E+00  2.6358E-01  2.6358E-01  2.9452E-01  2.3444E-01  6.0081E-02  4.9344E-01
  7.0500E+02  2.2156E+00  6.4378E+01  1.5950E+02  1.8648E+01  8.4355E+00  3.1552E-01  3.1552E-01  3.8954E-01  2.9374E-01  9.5796E-02  8.2517E-01
  7.0600E+02  2.2156E+00  6.4378E+01  1.5950E+02  1.8648E+01  8.4355E+00  2.5174E-01  2.5174E-01  1.8790E-01  2.5645E-01 -6.8547E-02 -1.0345E+00
  7.0700E+02  2.2156E+00  6.4378E+01  1.5950E+02  1.8648E+01  8.4355E+00  1.2520E-01  1.2520E-01  1.3172E-01  1.5552E-01 -2.3803E-02 -2.7504E-01
  7.1200E+02  2.2156E+00  4.4675E+01  1.5950E+02  1.2634E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.1300E+02  2.2156E+00  4.4675E+01  1.5950E+02  1.2634E+01  8.4355E+00  1.5524E-01  1.5524E-01  1.8039E-01  9.4177E-02  8.6213E-02  1.1241E+00
  7.1400E+02  2.2156E+00  4.4675E+01  1.5950E+02  1.2634E+01  8.4355E+00  4.1828E-01  4.1828E-01  4.5544E-01  2.6888E-01  1.8656E-01  9.4388E-01
  7.1500E+02  2.2156E+00  4.4675E+01  1.5950E+02  1.2634E+01  8.4355E+00  4.3623E-01  4.3623E-01  5.3140E-01  3.0024E-01  2.3116E-01  1.3946E+00
  7.1600E+02  2.2156E+00  4.4675E+01  1.5950E+02  1.2634E+01  8.4355E+00  3.1104E-01  3.1104E-01  3.1196E-01  2.5512E-01  5.6838E-02 -1.0332E-01
  7.1700E+02  2.2156E+00  4.4675E+01  1.5950E+02  1.2634E+01  8.4355E+00  1.3394E-01  1.3394E-01  1.4115E-01  1.5497E-01 -1.3816E-02 -3.3792E-01
  7.2200E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.2400E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  1.1751E-01  1.1751E-01  1.5180E-01  1.9754E-01 -4.5744E-02  1.4489E-01
  7.2500E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  1.8385E-01  1.8385E-01  1.6490E-01  2.8946E-01 -1.2456E-01 -7.4417E-01
  7.2600E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  1.9342E-01  1.9342E-01  1.7894E-01  2.6229E-01 -8.3352E-02 -6.5640E-01
  7.2700E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  1.5650E-01  1.5650E-01  1.0985E-01  1.4762E-01 -3.7768E-02 -1.3660E+00
  7.2800E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  1.0718E-01  1.0718E-01  1.0832E-01  5.7725E-02  5.0595E-02  2.6047E-01
  7.2900E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  7.6971E-02  7.6971E-02  9.2176E-02  2.9581E-02  6.2595E-02  2.5844E+00
  7.3100E+02  2.2156E+00  1.2969E+02  1.5950E+02  6.9661E+00  8.4355E+00  4.3286E-02  4.3286E-02  5.5384E-02  1.4767E-02  4.0617E-02  4.3853E+00
  7.3200E+02  2.2156E+00  1.0856E+02  1.5950E+02  1.2728E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.3400E+02  2.2156E+00  1.0856E+02  1.5950E+02  1.2728E+01  8.4355E+00  1.4700E-01  1.4700E-01  1.6038E-01  2.1046E-01 -5.0081E-02 -1.6654E-01
  7.3500E+02  2.2156E+00  1.0856E+02  1.5950E+02  1.2728E+01  8.4355E+00  2.1430E-01  2.1430E-01  2.1547E-01  2.9714E-01 -8.1672E-02 -4.1101E-01
  7.3600E+02  2.2156E+00  1.0856E+02  1.5950E+02  1.2728E+01  8.4355E+00  2.0402E-01  2.0402E-01  1.7339E-01  2.6349E-01 -9.0098E-02 -7.6562E-01
  7.3700E+02  2.2156E+00  1.0856E+02  1.5950E+02  1.2728E+01  8.4355E+00  1.4162E-01  1.4162E-01  1.6116E-01  1.5697E-01  4.1873E-03  1.7865E-01
  7.3800E+02  2.2156E+00  1.0856E+02  1.5950E+02  1.2728E+01  8.4355E+00  7.5081E-02  7.5081E-02  8.0437E-02  6.7077E-02  1.3360E-02  1.9585E-01
  7.4200E+02  2.2156E+00  3.3477E+01  1.5950E+02  1.0707E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.4300E+02  2.2156E+00  3.3477E+01  1.5950E+02  1.0707E+01  8.4355E+00  1.5468E-01  1.5468E-01  2.1545E-01  7.0455E-02  1.4499E-01  4.5034E+00
  7.4400E+02  2.2156E+00  3.3477E+01  1.5950E+02  1.0707E+01  8.4355E+00  5.0576E-01  5.0576E-01  2.1836E-01  2.4858E-01 -3.0222E-02 -1.8026E+00
  7.4500E+02  2.2156E+00  3.3477E+01  1.5950E+02  1.0707E+01  8.4355E+00  5.5080E-01  5.5080E-01  5.6205E-01  3.0473E-01  2.5732E-01  1.6146E+00
  7.4600E+02  2.2156E+00  3.3477E+01  1.5950E+02  1.0707E+01  8.4355E+00  3.4972E-01  3.4972E-01  4.9329E-01  2.6360E-01  2.2969E-01  2.0589E+00
  7.4700E+02  2.2156E+00  3.3477E+01  1.5950E+02  1.0707E+01  8.4355E+00  1.2800E-01  1.2800E-01  1.0610E-01  1.6661E-01 -6.0510E-02 -1.3786E+00
  7.5200E+02  2.2156E+00  1.1411E+02  1.5950E+02  1.5423E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.5400E+02  2.2156E+00  1.1411E+02  1.5950E+02  1.5423E+01  8.4355E+00  1.3401E-01  1.3401E-01  1.6255E-01  2.0205E-01 -3.9503E-02  1.2170E-01
  7.5500E+02  2.2156E+00  1.1411E+02  1.5950E+02  1.5423E+01  8.4355E+00  2.0468E-01  2.0468E-01  1.4393E-01  2.9717E-01 -1.5324E-01 -1.0928E+00
  7.5600E+02  2.2156E+00  1.1411E+02  1.5950E+02  1.5423E+01  8.4355E+00  1.8766E-01  1.8766E-01  1.6918E-01  2.5501E-01 -8.5825E-02 -6.1670E-01
  7.6200E+02  2.2156E+00  5.8871E+01  1.5950E+02  3.0904E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.6300E+02  2.2156E+00  5.8871E+01  1.5950E+02  3.0904E+01  8.4355E+00  7.1996E-02  7.1996E-02  8.5107E-02  5.7577E-02  2.7530E-02  1.3122E+00
  7.6400E+02  2.2156E+00  5.8871E+01  1.5950E+02  3.0904E+01  8.4355E+00  2.5913E-01  2.5913E-01  2.2446E-01  2.2190E-01  2.5586E-03  3.3694E-04
  7.6500E+02  2.2156E+00  5.8871E+01  1.5950E+02  3.0904E+01  8.4355E+00  3.0020E-01  3.0020E-01  2.3832E-01  2.9149E-01 -5.3169E-02 -5.6564E-01
  7.6600E+02  2.2156E+00  5.8871E+01  1.5950E+02  3.0904E+01  8.4355E+00  2.0809E-01  2.0809E-01  2.7753E-01  2.6194E-01  1.5588E-02  3.7300E-01
  7.6700E+02  2.2156E+00  5.8871E+01  1.5950E+02  3.0904E+01  8.4355E+00  6.4960E-02  6.4960E-02  5.0193E-02  1.5435E-01 -1.0415E-01 -1.6231E+00
  7.7200E+02  2.2156E+00  1.0168E+02  1.5950E+02  1.3289E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.7400E+02  2.2156E+00  1.0168E+02  1.5950E+02  1.3289E+01  8.4355E+00  1.8326E-01  1.8326E-01  2.2912E-01  2.4407E-01 -1.4952E-02  4.7191E-01
  7.7500E+02  2.2156E+00  1.0168E+02  1.5950E+02  1.3289E+01  8.4355E+00  2.2665E-01  2.2665E-01  1.9435E-01  2.9387E-01 -9.9522E-02 -5.3947E-01
  7.7600E+02  2.2156E+00  1.0168E+02  1.5950E+02  1.3289E+01  8.4355E+00  2.1479E-01  2.1479E-01  8.7053E-02  2.6082E-01 -1.7376E-01 -1.7913E+00
  7.7700E+02  2.2156E+00  1.0168E+02  1.5950E+02  1.3289E+01  8.4355E+00  1.4386E-01  1.4386E-01  1.7250E-01  1.4911E-01  2.3387E-02  5.9478E-01
  7.7800E+02  2.2156E+00  1.0168E+02  1.5950E+02  1.3289E+01  8.4355E+00  7.2437E-02  7.2437E-02  7.8384E-02  6.0082E-02  1.8302E-02  3.2698E-01
  7.8200E+02  2.2156E+00  1.1200E+02  1.5950E+02  8.1392E+00  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.8400E+02  2.2156E+00  1.1200E+02  1.5950E+02  8.1392E+00  8.4355E+00  1.6685E-01  1.6685E-01  2.0317E-01  2.4088E-01 -3.7711E-02  3.2961E-01
  7.8500E+02  2.2156E+00  1.1200E+02  1.5950E+02  8.1392E+00  8.4355E+00  2.1406E-01  2.1406E-01  1.2709E-01  2.9451E-01 -1.6742E-01 -1.2090E+00
  7.8600E+02  2.2156E+00  1.1200E+02  1.5950E+02  8.1392E+00  8.4355E+00  2.1236E-01  2.1236E-01  1.9622E-01  2.5771E-01 -6.1492E-02 -4.3223E-01
  7.8700E+02  2.2156E+00  1.1200E+02  1.5950E+02  8.1392E+00  8.4355E+00  1.6281E-01  1.6281E-01  1.7164E-01  1.4994E-01  2.1697E-02 -4.4259E-02
  7.8800E+02  2.2156E+00  1.1200E+02  1.5950E+02  8.1392E+00  8.4355E+00  1.0164E-01  1.0164E-01  1.4549E-01  6.0783E-02  8.4707E-02  2.0211E+00
  7.8900E+02  2.2156E+00  1.1200E+02  1.5950E+02  8.1392E+00  8.4355E+00  6.9109E-02  6.9109E-02  6.7660E-02  3.2602E-02  3.5058E-02  3.2181E-01
  7.9200E+02  2.2156E+00  6.7385E+01  1.5950E+02  1.9233E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.9300E+02  2.2156E+00  6.7385E+01  1.5950E+02  1.9233E+01  8.4355E+00  1.4807E-01  1.4807E-01  1.9189E-01  1.3542E-01  5.6473E-02  1.1822E+00
  7.9400E+02  2.2156E+00  6.7385E+01  1.5950E+02  1.9233E+01  8.4355E+00  2.6283E-01  2.6283E-01  2.7813E-01  2.4559E-01  3.2542E-02  3.3282E-01
  7.9500E+02  2.2156E+00  6.7385E+01  1.5950E+02  1.9233E+01  8.4355E+00  3.0266E-01  3.0266E-01  2.4317E-01  2.9624E-01 -5.3072E-02 -6.4420E-01
  7.9600E+02  2.2156E+00  6.7385E+01  1.5950E+02  1.9233E+01  8.4355E+00  2.5325E-01  2.5325E-01  2.3811E-01  2.6747E-01 -2.9358E-02 -3.5394E-01
  7.9700E+02  2.2156E+00  6.7385E+01  1.5950E+02  1.9233E+01  8.4355E+00  1.1095E-01  1.1095E-01  1.1589E-01  1.4980E-01 -3.3910E-02 -4.3928E-01
  8.0200E+02  2.2156E+00  4.3822E+01  1.5950E+02  1.6109E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.0300E+02  2.2156E+00  4.3822E+01  1.5950E+02  1.6109E+01  8.4355E+00  1.5916E-01  1.5916E-01  1.1723E-01  9.5170E-02  2.2060E-02 -1.0320E+00
  8.0400E+02  2.2156E+00  4.3822E+01  1.5950E+02  1.6109E+01  8.4355E+00  3.7998E-01  3.7998E-01  5.3593E-01  2.3986E-01  2.9607E-01  2.6222E+00
  8.0500E+02  2.2156E+00  4.3822E+01  1.5950E+02  1.6109E+01  8.4355E+00  4.3055E-01  4.3055E-01  4.9724E-01  2.9204E-01  2.0520E-01  1.0971E+00
  8.0600E+02  2.2156E+00  4.3822E+01  1.5950E+02  1.6109E+01  8.4355E+00  3.2646E-01  3.2646E-01  3.2097E-01  2.6997E-01  5.1003E-02 -2.6722E-01
  8.0700E+02  2.2156E+00  4.3822E+01  1.5950E+02  1.6109E+01  8.4355E+00  1.2942E-01  1.2942E-01  1.2996E-01  1.6702E-01 -3.7059E-02 -7.5734E-01
  8.1200E+02  2.2156E+00  5.7264E+01  1.5950E+02  1.1363E+01  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.1300E+02  2.2156E+00  5.7264E+01  1.5950E+02  1.1363E+01  8.4355E+00  1.4390E-01  1.4390E-01  1.7008E-01  1.1085E-01  5.9227E-02  7.3755E-01
  8.1400E+02  2.2156E+00  5.7264E+01  1.5950E+02  1.1363E+01  8.4355E+00  3.5211E-01  3.5211E-01  3.6436E-01  2.7491E-01  8.9454E-02  3.0764E-01
  8.1500E+02  2.2156E+00  5.7264E+01  1.5950E+02  1.1363E+01  8.4355E+00  3.6456E-01  3.6456E-01  4.1501E-01  2.8990E-01  1.2511E-01  7.4740E-01
  8.1600E+02  2.2156E+00  5.7264E+01  1.5950E+02  1.1363E+01  8.4355E+00  2.7649E-01  2.7649E-01  3.1444E-01  2.2831E-01  8.6126E-02  6.7237E-01
  8.1700E+02  2.2156E+00  5.7264E+01  1.5950E+02  1.1363E+01  8.4355E+00  1.4570E-01  1.4570E-01  1.3989E-01  1.2850E-01  1.1395E-02 -9.2135E-02
  8.1800E+02  2.2156E+00  5.7264E+01  1.5950E+02  1.1363E+01  8.4355E+00  5.6532E-02  5.6532E-02  6.5395E-02  5.2014E-02  1.3381E-02  5.7080E-01
  8.2200E+02  2.2156E+00  6.1820E+01  1.5950E+02  8.4327E+00  8.4355E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.2300E+02  2.2156E+00  6.1820E+01  1.5950E+02  8.4327E+00  8.4355E+00  1.5559E-01  1.5559E-01  1.5112E-01  1.2905E-01  2.2068E-02 -2.2930E-01
  8.2400E+02  2.2156E+00  6.1820E+01  1.5950E+02  8.4327E+00  8.4355E+00  3.4153E-01  3.4153E-01  4.2257E-01  2.8387E-01  1.3870E-01  9.5754E-01
